Sección;División;Agrupación;Grupo;Epígrafe;Denominación;Alta en I.A.E.
1;;;;;ACTIVIDADES EMPRESARIALES;
1;0;;;;GANADERIA INDEPENDIENTE;
1;0;1;;;EXPLOTACION DE GANADO BOVINO;
1;0;1;11;;EXPLOTACION EXTENSIVA GANADO BOVINO;Si
1;0;1;12;;EXPLOTAC. INTENSI.GANADO BOVINO DE LECHE;Si
1;0;1;13;;EXPLOT.INTENSIVA GANADO BOVINO DE CEBO;Si
1;0;2;;;EXPLOTACION DE GANADO OVINO Y CAPRINO;
1;0;2;21;;EXPLOTACION EXTENSIVA DE GANADO OVINO;Si
1;0;2;22;;EXPLOT.INTENSIV.GANADO OVINO DE CRIA;Si
1;0;2;23;;EXPLOTAC.INTENSIVA GANADO OVINO DE CEBO;Si
1;0;2;24;;EXPLOTACION DE GANADO CAPRINO;Si
1;0;3;;;EXPLOTACION DE GANDO PORCINO;
1;0;3;31;;EXPLOTACION EXTENSIVA GANADO PORCINO;Si
1;0;3;32;;EXPLOTAC.INTENSIVA GANADO PORCINO CRIA;Si
1;0;3;33;;EXPLOTAC. INTENSIVA GANADO PORCINO CEBO;Si
1;0;4;;;AVICULTURA;
1;0;4;41;;AVICULTURA DE PUESTA;
1;0;4;41;41,1;REPRODUCTORAS DE PUESTA;Si
1;0;4;41;41,2;PONEDORAS HUEVOS A PARTIR CUATRO MESES;Si
1;0;4;42;;AVICULTURA DE CARNE;
1;0;4;42;42,1;REPRODUCTORAS DE CARNE;Si
1;0;4;42;42,2;POLLOS Y PATOS PARA CARNE;Si
1;0;4;42;42,3;PAVOS, FAISANES Y PALMIPEDAS_REPRODUCTOR;Si
1;0;4;42;42,4;PAVOS, FAISANES Y PALMIPEDAS PARA CARNE;Si
1;0;4;42;42,5;CODORNICES PARA CARNE;Si
1;0;5;;;CUNICULTURA;
1;0;5;51;;CUNICULTURA;Si
1;0;6;;;OTRAS EXPLOTACION GANADERAS N.C.O.P.;
1;0;6;61;;EXPLOT.GANADO CABALLAR,MULAR Y ASNAL;Si
1;0;6;62;;APICULTURA;Si
1;0;6;69;;OTRAS EXPLOTACIONES GANADERAS;Si
1;0;7;;;EXPLOTACIONES MIXTAS;
1;0;7;71;;EXPLOTACIONES MIXTAS;Si
1;1;;;;ENERGIA Y AGUA;
1;1;11;;;EXT. PREP. Y AGL. COMB. SOLIDOS Y COQUE.;
1;1;11;111;;EXTR. PREP. Y AGLOMERACION DE HULLA;
1;1;11;111;111,1;EXTRACCION Y PREPARACION DE HULLA;Si
1;1;11;111;111,2;EXTRACC. Y PREP. HULLA SUBBITUMINOSA;Si
1;1;11;111;111,3;PREPARAC. HULLA FACTORIA INDEPENDIENTE;Si
1;1;11;111;111,4;AGLOMERACION DE HULLA;Si
1;1;11;112;;EXTRACCION Y PREPARACION DE ANTRACITA;
1;1;11;112;112,1;EXTRACC. Y PREPARACION DE ANTRACITA;Si
1;1;11;112;112,2;PREPARACION ANTRACITA FACTORIA INDEPEND.;Si
1;1;11;113;;EXTRACCION, PREPARACION DE LIGNITO PARDO;
1;1;11;113;113,1;EXTRACC. Y PREP. LIGNITO PARDO;Si
1;1;11;113;113,2;PREP. LIGNITO PARDO EN FACTORIA INDEPEN.;Si
1;1;11;114;;FABRICACION DE COQUE;Si
1;1;12;;;EXTRACCION DE PETROLEO Y GAS NATURAL;
1;1;12;121;;PROSP. PETROLEO Y GAS NAT. Y TRAB. AUX.;
1;1;12;121;121,1;TRABAJOS DE TESTIFICACION EN SONDEOS;Si
1;1;12;121;121,2;DESVIACION SONDEOS Y CIMENTACION POZOS;Si
1;1;12;121;121,3;TOMAS MEDIDA PRESION FONDO DE POZOS;Si
1;1;12;121;121,9;OTRAS ACTIV. DE PROSPECCION;Si
1;1;12;122;;EXTRAC. Y DISTRIB. DE CRUDOS DE PETROLEO;
1;1;12;122;122,1;EXTRACCION DE CRUDOS DE PETROLEO;Si
1;1;12;122;122,2;DISTRIBUCION DE CRUDOS DE PETROLEO;Si
1;1;12;123;;EXTRAC. DEPUR. Y DISTRIB. DE GAS NATURAL;
1;1;12;123;123,1;EXTRACCION Y DEPURACION DE GAS NATURAL;Si
1;1;12;123;123,2;DISTRIBUCION DE GAS NATURAL;Si
1;1;12;124;;EXTRACCION DE PIZARRAS BITUMINOSAS;Si
1;1;13;;;REFINO DE PETROLEO;
1;1;13;130;;REFINO DE PETROLEO;Si
1;1;14;;;EXTRAC. TRANSF. DE MINERALES RADIOACTIV.;
1;1;14;141;;EXTRAC.Y PREP. DE MINERALES RADIACTIVOS;Si
1;1;14;142;;PREP.MINERALES RADIACTIVOS FACT.INDEPEN.;Si
1;1;14;143;;TRANSF. MINE. RADIACT. TTO. Y ALMA. RES.;
1;1;14;143;143,1;TRANSFORMACION DE MINERALES RADIOACTIVOS;Si
1;1;14;143;143,2;TRATAMIENTO DE RESIDUOS RADIOACTIVOS;Si
1;1;14;143;143,3;ALMACENAMIENTO DE RESIDUOS RADIOACTIVOS;Si
1;1;15;;;PROD.TRANS.DIST. E.ELEC. GAS VAPOR AGUA;
1;1;15;151;;PRODUC. TRANS. Y DIST. DE ENER. ELEC.;
1;1;15;151;151,1;PRODUCCION DE ENERGIA HIDROELECTRICA;Si
1;1;15;151;151,2;PRODUCCION ENERGIA TERMOELECTRICA;Si
1;1;15;151;151,3;PRODUCCION ENERGIA ELECTRONUCLEAR;Si
1;1;15;151;151,4;OTRAS PRODUCCIONES DE ENERGIA;Si
1;1;15;151;151,5;TTE. Y DISTRIBUCION DE ELECTRICIDAD;Si
1;1;15;152;;FABRICACION Y DISTRIBUCION DE GAS;Si
1;1;15;153;;PRODUCC. Y DISTRIB.VAPOR Y AGUA CALIENTE;Si
1;1;16;;;CAPT. DEPUR. DIST. AGUA Y FAB. DE HIELO;
1;1;16;161;;CAPT. TRAT.Y DIST. AGUA, NUCLEOS URBANO;
1;1;16;161;161,1;CAPTACION,TRATAMIENTO Y DISTRIB. DE AGUA;Si
1;1;16;161;161,2;CAPTACION DE AGUA PARA SU SUMINISTRO;Si
1;1;16;161;161,3;TRATAMIENTO DEL AGUA PARA SU SUMINISTRO;Si
1;1;16;161;161,4;DISTRIBUCION DE AGUA EN NUCLEOS URBANOS;Si
1;1;16;162;;FABRICACION DE HIELO PARA LA VENTA;Si
1;2;;;;EXTR.TRANS. MIN. NO ENERG. Y PROD.DERIV.;
1;2;21;;;EXTRAC. PREPAR. DE MINERALES METALICOS;
1;2;21;211;;EXTRAC. PREPAR. DE MINERALES DE HIERRO;
1;2;21;211;211,1;EXTRACC. Y PREP. MINERALES FERREOS;Si
1;2;21;211;211,2;PREP.MINERALES FERREOS EN FACT. INDEPEN.;Si
1;2;21;212;;EXTRAC. PREPAR. DE MIN. MET. NO FERREOS;
1;2;21;212;212,1;EXTRAC.Y PREP. MINERALES METALICOS;Si
1;2;21;212;212,2;PREP.MINERALES METALICOS EN FACT.INDEP.;Si
1;2;22;;;PRODUC. Y PRIMERA TRANSFOR. DE METALES;
1;2;22;221;;SIDERURGIA INTEGRAL;Si
1;2;22;221;221,1;PTOS.SIDERURGICOS PRIMARIOS (S.I.);
1;2;22;221;221,2;ACERO BRUTO (S.I.);
1;2;22;221;221,3;SEMIPRODUCTOS (S.I.);
1;2;22;221;221,4;PTOS.LAMINADOS EN CALIENTE (S.I.);
1;2;22;221;221,5;PTOS.LAMINADOS EN FRIO (S.I.);
1;2;22;221;221,6;PTOS.SIDERURGICOS DERIVADOS (S.I.);
1;2;22;221;221,7;OTROS PTOS. Y SUBPRODUCTOS (S.I.);
1;2;22;222;;SIDERURGIA NO INTEGRAL;Si
1;2;22;222;222,1;ACERO BRUTO (S.N.I.);
1;2;22;222;222,2;SEMIPRODUCTOS (S.N.I.);
1;2;22;222;222,3;LAMINADOS EN CALIENTE (S.N.I.);
1;2;22;222;222,4;LAMINADOS EN FRIO (S.N.I.);
1;2;22;222;222,5;PTOS.DERIVADOS (S.N.I.);
1;2;22;222;222,6;OTROS PTOS. Y SUBPRODUCTOS (S.N.I.);
1;2;22;223;;FABRICACION DE TUBOS DE ACERO;Si
1;2;22;223;223,1;PTOS. TUBULARES DE ACERO SIN SOLDADURA;
1;2;22;223;223,2;PTOS. TUBULARES DE ACERO SOLDADOS;
1;2;22;223;223,3;PTOS. TUBULARES SOLDADOS HELICOIDALMENTE;
1;2;22;223;223,4;ACCESORIOS PARA TUBERIAS;
1;2;22;224;;TREFILADO,ESTIRADO Y LAMINADO DE ACERO;Si
1;2;22;224;224,1;ALAMBRE DE ACERO;
1;2;22;224;224,2;PTOS. CALIBRADOS DE ESTIRADO;
1;2;22;224;224,3;PTOS. CALIBRADOS POR TORNEADO;
1;2;22;224;224,4;PTOS. CALIBRADOS POR RECTIFICADO;
1;2;22;224;224,5;PERFILES CONFORMADOS EN FRIO;
1;2;22;224;224,6;FLEJE LAMINADO EN FRIO;
1;2;22;224;224,7;FLEJE MAGNETICO LAMINADO EN FRIO;
1;2;22;224;224,8;FLEJE RECUBIERTO;
1;2;22;225;;PROD. Y PRIMERA TRANSF. DE MET. NO FERR.;
1;2;22;225;225,1;PROD. Y PRIM. TRANSFORMACION ALUMINIO;Si
1;2;22;225;225,2;PROD. Y PRIM. TRANSFORMACION DE COBRE;Si
1;2;22;225;225,9;PROD. Y PRIM. TRANSF. OTROS METALES;Si
1;2;23;;;EXTR. MINER. NO METAL.NI ENERG.,TURBERAS;
1;2;23;231;;EXTRACCION DE MATERIALES DE CONSTRUCCION;
1;2;23;231;231,1;EXTRACCION SUSTANCIAS ARCILLOSAS;Si
1;2;23;231;231,2;EXTRACC. ROCAS Y PIZARRAS CONSTRUCCION;Si
1;2;23;231;231,3;EXTRACC. ARENAS Y GRAVAS CONSTRUCCION;Si
1;2;23;231;231,4;EXTRACCION DE YESO;Si
1;2;23;231;231,9;EXTRACCION OTROS MATERIALES CONSTRUCCION;Si
1;2;23;232;;EXTRAC. DE SAL POTAS.FOSFATOS Y NITRATOS;
1;2;23;232;232,1;EXTRACCION SALES POTASICAS;Si
1;2;23;232;232,2;EXTRACCION FOSFATOS Y NITRATOS;Si
1;2;23;233;;EXTRACCION DE SAL COMUN;
1;2;23;233;233,1;EXTRACCION DE SAL MARINA;Si
1;2;23;233;233,2;EXTRACC. SAL MANANTIAL Y GEMA;Si
1;2;23;234;;EXTRACCION DE PIRITAS Y AZUFRE;Si
1;2;23;234;234,1;PIRITAS DE HIERRO SIN TOSTAR;
1;2;23;234;234,2;AZUFRE NATURAL;
1;2;23;239;;EXTR. OTROS MINER. NO MET. NI ENER.,TUR.;
1;2;23;239;239,1;EXTRACCION DE FLUORITA;Si
1;2;23;239;239,2;EXTRACCION DE TURBA;Si
1;2;23;239;239,9;EXTRACC. DE OTROS MINERALES NCOP;Si
1;2;24;;;INDUSTRIA DE PROD. MINERALES NO METALIC.;
1;2;24;241;;FAB.PTOS.TIERRAS COCIDAS CONSTRUCCION;Si
1;2;24;241;241,1;LADRILLOS BLOQUES Y FORJADOS;
1;2;24;241;241,2;TEJAS, BALDOSAS Y OTROS MATERIALES;
1;2;24;242;;FABRICACION DE CEMENTOS CALES Y YESOS;
1;2;24;242;242,1;FAB. CEMENTOS ARTIFICIALES;Si
1;2;24;242;242,2;FAB. CEMENTOS NATURALES;Si
1;2;24;242;242,3;FAB. CALES Y YESOS;Si
1;2;24;243;;FAB. MAT. EN HORMIGON,CEMENTO,YESO,ETC.;
1;2;24;243;243,1;FAB. HORMIGONES PREPARADOS;Si
1;2;24;243;243,2;FAB. PTOS. EN FIBROCEMENTO;Si
1;2;24;243;243,3;FAB. OTROS ARTICULOS DERIVADOS CEMENTO;Si
1;2;24;243;243,4;FAB. PAVIMENTOS DERIVADOS DEL CEMENTO;Si
1;2;24;243;243,5;FAB. ARTICULOS DERIVADOS YESO Y ESCAYOLA;Si
1;2;24;244;;INDUSTRIAS DE LA PIEDRA NATURAL;Si
1;2;24;244;244,1;PIEDRA NATURAL TRITURADA Y CLASIFICADA;
1;2;24;244;244,2;PIEDRA NATURAL TALLADA Y ASERRADA;
1;2;24;244;244,3;PIEDRA ELABORADA;
1;2;24;245;;FAB. DE ABRASIVOS;Si
1;2;24;245;245,1;MUELAS Y ARTICULOS SIMILARES;
1;2;24;245;245,2;OTROS ABRASIVOS;
1;2;24;246;;INDUSTRIA DEL VIDRIO;
1;2;24;246;246,1;FAB. VIDRIO PLANO;Si
1;2;24;246;246,2;FAB. VIDRIO HUECO;Si
1;2;24;246;246,3;FAB. VIDRIO TECNICO;Si
1;2;24;246;246,4;FAB. FIBRA DE VIDRIO;Si
1;2;24;246;246,5;MANIPULADO DE VIDRIO;Si
1;2;24;246;246,6;FABRICAC. DE FIBRAS Y ESMALTES CERAMICOS;Si
1;2;24;247;;FABRICACION DE PRODUCTOS CERAMICOS;
1;2;24;247;247,1;FAB. ARTICULOS REFRACTARIOS;Si
1;2;24;247;247,2;FAB. BALDOSAS PARA PAVIMENTOS;Si
1;2;24;247;247,3;FAB. BALDOSAS ESMALTADAS PARA PAVIMENTOS;Si
1;2;24;247;247,4;FAB. VAJILLAS Y ARTICULOS PARA EL HOGAR;Si
1;2;24;247;247,5;FAB. APARATOS SANITARIOS LOZA Y PORCEL.;Si
1;2;24;247;247,6;FAB. AISLADORES EN MATERIAL CERAMICO;Si
1;2;24;247;247,9;FAB. OTROS PTOS. CERAMICOS NCOP;Si
1;2;24;249;;IND. OTROS PTOS. MINERALES NO MET.;Si
1;2;24;249;249,1;FAB. PTOS. ASFALTICOS;
1;2;24;249;249,2;FAB. PTOS. A BASE DE AMIANTO;
1;2;24;249;249,9;FAB. PTOS. CON OTROS MINERALES NO METAL;
1;2;25;;;INDUSTRIA QUIMICA;
1;2;25;251;;FAB.PROD.QUIM.BASIC. (EXC.PROD.FARMAC.);
1;2;25;251;251,1;FAB.PTO.QUIMICOS ORGANICOS PETROQUIMICOS;Si
1;2;25;251;251,2;FAB. OTROS PTOS. QUIMICOS ORGANICOS;Si
1;2;25;251;251,3;FAB. PTOS. QUIMICOS INORGANICOS;Si
1;2;25;251;251,4;FAB. PRIMERA MATERIAS PLASTICAS;Si
1;2;25;251;251,5;FAB. CAUCHO Y LATEX SINTETICOS;Si
1;2;25;251;251,6;FAB. FIBRAS ARTIFICIALES Y SINTETICAS;Si
1;2;25;251;251,7;FAB. ACIDO ANHIDRICO FTALICO Y MALEICO;Si
1;2;25;252;;FAB.PROD.QUIM. DEST. A LA AGRICULTURA;
1;2;25;252;252,1;FAB. DE ABONOS;Si
1;2;25;252;252,2;FAB. DE PLAGUICIDAS;Si
1;2;25;253;;FABRIC. PRODUC.QUIMICOS DEST. INDUSTRIA;
1;2;25;253;253,1;FAB. GASES COMPRIMIDOS;Si
1;2;25;253;253,2;FAB. COLORANTES Y PIGMENTOS;Si
1;2;25;253;253,3;FAB. PINTURAS, BARNICES Y LACAS;Si
1;2;25;253;253,4;FAB. DE TINTAS DE IMPRENTA;Si
1;2;25;253;253,5;TRATAMIENTO ACEITES PARA USO INDUSTRIAL;Si
1;2;25;253;253,6;FAB. ACEITES ESENCIALES Y SUST. AROMAT.;Si
1;2;25;253;253,7;FAB. COLAS Y GELATINAS;Si
1;2;25;253;253,8;FAB. EXPLOSIVOS;Si
1;2;25;253;253,9;FAB. OTROS PTOS. QUIMICOS USO INDUSTRIAL;Si
1;2;25;254;;FABRICACION DE PRODUCTOS FARMACEUTICOS;
1;2;25;254;254,1;FAB. PTOS. FARMACEUTICOS DE BASE;Si
1;2;25;254;254,2;FAB. ESPECIALIDADES FARMACEUTICAS;Si
1;2;25;255;;FAB.OTROS PROD.QUIM. DEST. AL CONS.FINAL;
1;2;25;255;255,1;FAB. JABONES COMUNES, DETERGENTES, LEJIA;Si
1;2;25;255;255,2;FAB. JABONES TOCADOR Y PTOS. PERFUMERIA;Si
1;2;25;255;255,3;FAB. DERIVADOS DE CERAS Y PARAFINAS;Si
1;2;25;255;255,4;FAB. MATERIAL FOTOGRAFICO SENSIBLE;Si
1;2;25;255;255,5;FAB. ART. PIROTECNICOS, Y FOSFOROS;Si
1;2;25;255;255,9;FAB. OTROS PTOS. QUIMICOS DE CONSUMO;Si
1;3;;;;IND.TRANSF. DE METALES,MEC. DE PRECISION;
1;3;31;;;FAB.PROD. MET. (EXC.MAQ. Y MATER.TRANS.);
1;3;31;311;;FUNDICIONES;
1;3;31;311;311,1;FUNDICION PIEZAS DE HIERRO Y ACERO;Si
1;3;31;311;311,2;FUNDICION PIEZAS METALES NO FERREOS;Si
1;3;31;312;;FORJA,ESTAMPADO,EMBUTICION,TROQUELADO;Si
1;3;31;312;312,1;PIEZAS FORJADAS;
1;3;31;312;312,2;PIEZAS ESTAMPADAS O TROQUELADAS;
1;3;31;312;312,3;PIEZAS EMBUTIDAS, CORTADAS;
1;3;31;313;;TRATAMIENTO Y RECUBRIMIENTO DE METALES;Si
1;3;31;313;313,1;TRATAMIENTO DE METALES;
1;3;31;313;313,2;RECUBRIMIENTOS METALICOS;
1;3;31;313;313,9;TRAT. PROTECCION DE METALES;
1;3;31;314;;FAB. PRODUCTOS METALICOS EXTRUCTURALES;
1;3;31;314;314,1;FAB. ART. CARPINTERIA METALICA;Si
1;3;31;314;314,2;FAB. ESTRUCTURAS METALICAS;Si
1;3;31;315;;CONSTRUCC. DEPOSITOS Y CALDERERIA;Si
1;3;31;315;315,1;GRANDES CALDERAS;
1;3;31;315;315,2;GRANDES DEPOSITOS METALICOS;
1;3;31;316;;FAB.HERR.ACABADAS EN MET.(EXC.MAT.ELEC.);
1;3;31;316;316,1;FAB. HERRAMIENTAS MANUALES;Si
1;3;31;316;316,2;FAB. ARTICULOS DE FERRETERIA/CERRAJERIA;Si
1;3;31;316;316,3;TORNILLERIA Y ART. DERIVADOS ALAMBRE;Si
1;3;31;316;316,4;FAB. ART. MENAJE;Si
1;3;31;316;316,5;FAB. COCINAS, CALENTADORES, CALEFACCION;Si
1;3;31;316;316,6;FAB. MOBILIARIO METALICO;Si
1;3;31;316;316,7;FAB. RECIPIENTES Y ENVASES METALICOS;Si
1;3;31;316;316,8;FAB. ARMAS LIGERAS Y SUS MUNICIONES;Si
1;3;31;316;316,9;OTROS ART. ACABADOS EN METALES NCOP;Si
1;3;31;319;;TALLERES MECANICOS INDEPENDIENTES;
1;3;31;319;319,1;TALLERES DE MECANICA EN GENERAL;Si
1;3;31;319;319,9;TALLERES MECANICOS NCOP;Si
1;3;32;;;CONST. MAQ. Y EQUIPO MECANICO;
1;3;32;321;;CONST. MAQ. Y TRACTORES AGRICOLAS;
1;3;32;321;321,1;CONSTRUCC. MAQ. AGRICOLAS;Si
1;3;32;321;321,2;CONSTRUCC. TRACTORES AGRICOLAS;Si
1;3;32;322;;CONST. MAQ. PARA METALES, MADERA, CORCHO;
1;3;32;322;322,1;CONS. MAQUINAS PARA TRABAJAR METALES;Si
1;3;32;322;322,2;CONST. MAQUINAS TRABAJAR MADERA/CORCHO;Si
1;3;32;322;322,3;FAB.UTILES PARA MAQUINAS HERRAMIENTAS;Si
1;3;32;323;;CONST. MAQ. IND. TEX.CUERO,CALZ.,VESTIDO;
1;3;32;323;323,1;CONST. MAQUINAS TEXTILES Y ACCESORIOS;Si
1;3;32;323;323,2;CONST. MAQUINAS INDUST. CUERO Y CALZADO;Si
1;3;32;323;323,3;FAB. MAQUINAS DE COSER;Si
1;3;32;324;;CONST. MAQ. IND. ALIM.QUIM.PLAST.CAUCHO;
1;3;32;324;324,1;MAQUINAS IND. ALIMENT.,BEBIDAS Y TAB.;Si
1;3;32;324;324,2;CONST.MAQUINAS PARA INDUSTRIA QUIMICA;Si
1;3;32;324;324,3;CONST.MAQ.IND._DEL CAUCHO Y PLASTICOS;Si
1;3;32;325;;CONST. MAQ. MIN.CONST.OB.PUB.SIDER.OTROS;
1;3;32;325;325,1;CONST.MAQ. MINERIA Y CONSTRUCCION;Si
1;3;32;325;325,2;CONST. MAQUINAS IND. MINERALES NO METAL;Si
1;3;32;325;325,3;CONST. MAQ. PARA SIDERURGIA Y FUNDICION;Si
1;3;32;325;325,4;CONST. MAQ. ELEVACION Y MANIPULACION;Si
1;3;32;326;;CONST. ORGANOS DE TRANSMISION;
1;3;32;326;326,1;FAB.ENGRANAJES,CADENAS DE TRANSMISION;Si
1;3;32;326;326,2;FAB. DE RODAMIENTOS;Si
1;3;32;329;;CONST. OTRAS MAQUINAS Y EQUIPO MECANICO;
1;3;32;329;329,1;CONST. MAQ. IND. PAPEL, CARTON Y AA.GG.;Si
1;3;32;329;329,2;CONST.MAQ. DE LAVADO Y LIMPIEZA EN SECO;Si
1;3;32;329;329,3;CONST. MOTORES Y TURBINAS (EXC.TRANSPOR);Si
1;3;32;329;329,4;CONST. MAQ. MANIPULACION DE FLUIDOS;Si
1;3;32;329;329,9;CONST. OTRAS MAQ. Y EQUIPOS NCOP;Si
1;3;33;;;CONST. MAQ. OFIC. Y ORDENADORES(I.INST.);
1;3;33;330;;CONS.MAQ.DE OFICINA Y ORDENADORES;Si
1;3;33;330;330,1;CONS. MAQ. DE OFICINA Y ORDENADORES;
1;3;33;330;330,2;INSTALAC. MAQ. OFICINA Y ORDENADORES;
1;3;34;;;CONST. MAQ. Y MATERIAL ELECTRICO;
1;3;34;341;;FAB.HILOS Y CABLES ELECTRICOS;Si
1;3;34;341;341,1;FAB. HILOS Y CABLES AISLADOS COMUNICAC.;
1;3;34;341;341,2;FAB.HILOS Y CABLES PARA ELECTRICIDAD;
1;3;34;341;341,3;FAB. HILOS Y CABLES PARA BOBINAS;
1;3;34;341;341,4;FAB.CORDONES FLEXIBLES E HILOS AISLADOS;
1;3;34;341;341,5;FAB. HILOS Y CABLES PARA CONSTRUCCION;
1;3;34;341;341,9;FAB. OTROS HILOS Y CABLES AISLADOS;
1;3;34;342;;FAB.MATERIAL ELECTRICO DE USO Y EQUIP.;Si
1;3;34;342;342,1;MAQUINAS TRASFORMACION ELECTRICIDAD;
1;3;34;342;342,2;OTRO MATERIAL ELECTRICO;
1;3;34;343;;FABRICACION PILAS Y ACUMULADORES;Si
1;3;34;343;343,1;FAB. PILAS ELECTRICAS;
1;3;34;343;343,2;FAB. ACUMULADORES ELECTRICOS;
1;3;34;343;343,3;FAB. ACCESORIOS DE PILAS Y ACUMULADORES;
1;3;34;344;;FAB. CONTADORES Y APARATOS DE MEDIDA;Si
1;3;34;345;;FAB. APARATOS ELECTRODOMESTICOS;Si
1;3;34;345;345,1;FAB.COCINAS,HORNOS,PLACAS, Y DEMAS;
1;3;34;345;345,2;FAB.REFRIGERADORES Y CONGELADORES;
1;3;34;345;345,3;FAB. LAVAVAJILLAS,LAVADORAS Y SECADORAS;
1;3;34;345;345,4;FAB.CALENTADORES Y CALEFACC. ELECTRICA;
1;3;34;345;345,5;FAB.VENTILADORES Y ACONDICIONADORES;
1;3;34;345;345,6;FAB.APARATOS ELEC. AUXILIARES COCINA;
1;3;34;345;345,7;FAB.APAR.ELECTRICOS PARA EL HOGAR;
