;Comunidad Autónoma;Provincia;Municipio;Código;CodProv;Codigo_Mapa
0;País Vasco;ALAVA;ALEGRIA-DULANTZI;01001;01;01001
1;País Vasco;ALAVA;AMURRIO;01002;01;01002
2;País Vasco;ALAVA;ANTOÑANA;01003;01;0
3;País Vasco;ALAVA;ARAMAIO;01004;01;01003
4;País Vasco;ALAVA;ARTZINIEGA;01005;01;01004
5;País Vasco;ALAVA;ARLUCEA;01006;01;0
6;País Vasco;ALAVA;ARMIÑON;01007;01;01006
7;País Vasco;ALAVA;ARRASTARIA;01008;01;0
8;País Vasco;ALAVA;ARRAZUA-UBARRUNDIA;01009;01;01008
9;País Vasco;ALAVA;ASPARRENA;01010;01;01009
10;País Vasco;ALAVA;AYALA;01011;01;01010
11;País Vasco;ALAVA;BAÑOS DE EBRO;01012;01;01011
12;País Vasco;ALAVA;BARRIOBUSTO;01013;01;0
13;País Vasco;ALAVA;BARRUNDIA;01014;01;01013
14;País Vasco;ALAVA;BERANTEVILLA;01015;01;01014
15;País Vasco;ALAVA;BERGUENDA;01016;01;0
16;País Vasco;ALAVA;BERNEDO;01017;01;01016
17;País Vasco;ALAVA;ZIGOITIA;01018;01;01018
18;País Vasco;ALAVA;CORRES;01019;01;0
19;País Vasco;ALAVA;CRIPAN;01020;01;01019
20;País Vasco;ALAVA;CUARTANGO;01021;01;01020
21;País Vasco;ALAVA;ELBURGO;01022;01;01021
22;País Vasco;ALAVA;ELCIEGO;01023;01;01022
23;País Vasco;ALAVA;ELVILLAR;01024;01;01023
24;País Vasco;ALAVA;FORONDA;01025;01;0
25;País Vasco;ALAVA;GAUNA;01026;01;0
26;País Vasco;ALAVA;HUETOS;01027;01;0
27;País Vasco;ALAVA;IRUÑA;01028;01;0
28;País Vasco;ALAVA;IRURAIZ-GAUNA;01029;01;01027
29;País Vasco;ALAVA;LABASTIDA;01030;01;01028
30;País Vasco;ALAVA;LABRAZA;01031;01;0
31;País Vasco;ALAVA;LAGRAN;01032;01;01030
32;País Vasco;ALAVA;LAGUARDIA;01033;01;01031
33;País Vasco;ALAVA;LANCIEGO;01034;01;01032
34;País Vasco;ALAVA;LAPUEBLA DE LABARCA;01035;01;01033
35;País Vasco;ALAVA;LEZA;01036;01;01034
36;País Vasco;ALAVA;LEZAMA;01037;01;0
37;País Vasco;ALAVA;LAUDIO-LLODIO;01038;01;01036
38;País Vasco;ALAVA;ARRAIA-MAESTU;01039;01;01037
39;País Vasco;ALAVA;MARQUINEZ;01040;01;0
40;País Vasco;ALAVA;MENDOZA;01041;01;0
41;País Vasco;ALAVA;MOREDA DE ALAVA;01042;01;01039
42;País Vasco;ALAVA;IRUÑA OKA;01043;01;01901
43;País Vasco;ALAVA;NAVARIDAS;01044;01;01041
44;País Vasco;ALAVA;OKONDO;01045;01;01042
45;País Vasco;ALAVA;ORBISO;01046;01;0
46;País Vasco;ALAVA;OTEO;01047;01;0
47;País Vasco;ALAVA;OYON;01048;01;01043
48;País Vasco;ALAVA;PEÑACERRADA-URIZAHARRA;01049;01;01044
49;País Vasco;ALAVA;PIPAON;01050;01;0
50;País Vasco;ALAVA;QUINTANA;01051;01;0
51;País Vasco;ALAVA;RIBERA ALTA;01052;01;01046
52;País Vasco;ALAVA;RIBERA BAJA;01053;01;01047
53;País Vasco;ALAVA;LANTARON;01054;01;01902
54;País Vasco;ALAVA;SALINAS DE AÑANA;01055;01;01049
55;País Vasco;ALAVA;SALINILLAS B.;01056;01;0
56;País Vasco;ALAVA;SALVATIERRA O AGURAIN;01057;01;01051
57;País Vasco;ALAVA;SAMANIEGO;01058;01;01052
58;País Vasco;ALAVA;SAN MILLAN;01059;01;01053
59;País Vasco;ALAVA;SAN ROMAN DEL CAMPO;01060;01;0
60;País Vasco;ALAVA;CAMPEZO;01061;01;01017
