;Codigo Municipio;Nombre;Clase;CodProv
0;1001;ALEGRIA-DULANTZI;0;1
1;1002;AMURRIO;4;1
2;1049;SALINAS DE AÑANA;0;1
3;1003;ARAMAIO;0;1
4;1006;ARMIÑON;0;1
5;1037;ARRAIA-MAESTU;4;1
6;1008;ARRAZUA-UBARRUNDIA;4;1
7;1004;ARTZINIEGA;0;1
8;1009;ASPARRENA;4;1
9;1010;AYALA;0;1
10;1011;BAÑOS DE EBRO;0;1
11;1013;BARRUNDIA;0;1
12;1014;BERANTEVILLA;4;1
13;1016;BERNEDO;0;1
14;1017;CAMPEZO;4;1
15;1021;ELBURGO;0;1
16;1022;ELCIEGO;0;1
17;1023;ELVILLAR;0;1
18;1046;RIBERA ALTA;0;1
19;1056;VALLE DE ARANA;0;1
20;1901;IRUÑA OKA;18;1
21;1027;IRURAIZ-GAUNA;0;1
22;1019;CRIPAN;0;1
23;1020;CUARTANGO;0;1
24;1028;LABASTIDA;4;1
25;1030;LAGRAN;0;1
26;1031;LAGUARDIA;4;1
27;1032;LANCIEGO;0;1
28;1902;LANTARON;4;1
29;1033;LAPUEBLA DE LABARCA;0;1
30;1036;LAUDIO-LLODIO;18;1
31;1058;LEGUTIANO;7;1
32;1034;LEZA;0;1
33;1039;MOREDA DE ALAVA;4;1
34;1041;NAVARIDAS;0;1
35;1042;OKONDO;0;1
36;1043;OYON;11;1
37;1044;PEÑACERRADA-URIZAHARRA;0;1
38;1047;RIBERA BAJA;25;1
39;1051;SALVATIERRA O AGURAIN;7;1
40;1052;SAMANIEGO;0;1
41;1053;SAN MILLAN;4;1
42;1054;URCABUSTAIZ;0;1
43;1055;VALDEGOVIA;0;1
44;1057;VILLABUENA DE ALAVA;0;1
45;1059;VITORIA-GASTEIZ;298;1
46;1060;YECORA;0;1
47;1061;ZALDUONDO;0;1
48;1062;ZAMBRANA;0;1
49;1018;ZIGOITIA;4;1
50;1063;ZUIA;4;1
51;2001;ABENGIBRE;25;2
52;2002;ALATOZ;28;2
53;2003;ALBACETE;1841;2
54;2004;ALBATANA;25;2
55;2005;ALBOREA;77;2
56;2006;ALCADOZO;46;2
57;2007;ALCALA DEL JUCAR;77;2
58;2008;ALCARAZ;140;2
59;2009;ALMANSA;2405;2
60;2010;ALPERA;151;2
61;2011;AYNA;42;2
62;2012;BALAZOTE;203;2
63;2014;BALLESTERO (EL);14;2
64;2013;BALSA DE VES;21;2
65;2015;BARRAX;84;2
66;2016;BIENSERVIDA;21;2
67;2017;BOGARRA;28;2
68;2018;BONETE;116;2
69;2019;BONILLO (EL);126;2
70;2020;CARCELEN;21;2
71;2021;CASAS DE JUAN NUÑEZ;74;2
72;2022;CASAS DE LAZARO;63;2
73;2023;CASAS DE VES;42;2
74;2024;CASAS-IBAÑEZ;172;2
75;2025;CAUDETE;1582;2
76;2026;CENIZATE;63;2
77;2029;CHINCHILLA DE MONTE-ARAGON;396;2
78;2027;CORRAL-RUBIO;14;2
79;2028;COTILLAS;7;2
80;2030;ELCHE DE LA SIERRA;165;2
81;2031;FEREZ;28;2
82;2032;FUENSANTA;56;2
83;2033;FUENTE-ALAMO;119;2
84;2034;FUENTEALBILLA;95;2
85;2035;GINETA (LA);343;2
86;2036;GOLOSALVO;18;2
87;2037;HELLIN;641;2
88;2038;HERRERA (LA);63;2
89;2039;HIGUERUELA;46;2
90;2040;HOYA-GONZALO;28;2
91;2041;JORQUERA;21;2
92;2042;LETUR;91;2
93;2043;LEZUZA;91;2
94;2044;LIETOR;60;2
95;2045;MADRIGUERAS;305;2
96;2046;MAHORA;88;2
97;2047;MASEGOSO;4;2
98;2048;MINAYA;147;2
99;2049;MOLINICOS;49;2
100;2050;MONTALVOS;7;2
101;2051;MONTEALEGRE DEL CASTILLO;91;2
102;2052;MOTILLEJA;102;2
103;2053;MUNERA;224;2
104;2054;NAVAS DE JORQUERA;56;2
105;2055;NERPIO;49;2
106;2056;ONTUR;109;2
107;2057;OSSA DE MONTIEL;224;2
108;2058;PATERNA DEL MADERA;4;2
109;2060;PEÑAS DE SAN PEDRO;56;2
110;2059;PEÑASCOSA;7;2
111;2061;PETROLA;25;2
112;2062;POVEDILLA;21;2
113;2901;POZO CAÑADA;165;2
114;2063;POZOHONDO;133;2
115;2064;POZO-LORENTE;18;2
116;2065;POZUELO;25;2
117;2066;RECUEJA (LA);21;2
118;2067;RIOPAR;60;2
119;2068;ROBLEDO;49;2
120;2069;RODA (LA);1666;2
121;2070;SALOBRE;46;2
122;2071;SAN PEDRO;60;2
123;2072;SOCOVOS;144;2
124;2073;TARAZONA DE LA MANCHA;532;2
125;2074;TOBARRA;676;2
126;2075;VALDEGANGA;88;2
127;2076;VIANOS;53;2
128;2077;VILLA DE VES;11;2
129;2078;VILLALGORDO DEL JUCAR;130;2
130;2079;VILLAMALEA;322;2
131;2080;VILLAPALACIOS;46;2
