;CodProv;Codigo Provincia;Codigo_Mapa;Comunidad Autónoma;Código;Municipio;Nº alojamientos;Provincia
0;1;1;1001;País Vasco;1001;ALEGRIA-DULANTZI;0;ALAVA
1;1;1;1002;País Vasco;1002;AMURRIO;8;ALAVA
2;1;1;0;País Vasco;1003;ANTOÑANA;0;ALAVA
3;1;1;1003;País Vasco;1004;ARAMAIO;0;ALAVA
4;1;1;1004;País Vasco;1005;ARTZINIEGA;0;ALAVA
5;1;1;0;País Vasco;1006;ARLUCEA;0;ALAVA
6;1;1;1006;País Vasco;1007;ARMIÑON;0;ALAVA
7;1;1;0;País Vasco;1008;ARRASTARIA;0;ALAVA
8;1;1;1008;País Vasco;1009;ARRAZUA-UBARRUNDIA;0;ALAVA
9;1;1;1009;País Vasco;1010;ASPARRENA;0;ALAVA
10;1;1;1010;País Vasco;1011;AYALA;0;ALAVA
11;1;1;1011;País Vasco;1012;BAÑOS DE EBRO;0;ALAVA
12;1;1;0;País Vasco;1013;BARRIOBUSTO;0;ALAVA
13;1;1;1013;País Vasco;1014;BARRUNDIA;0;ALAVA
14;1;1;1014;País Vasco;1015;BERANTEVILLA;0;ALAVA
15;1;1;0;País Vasco;1016;BERGUENDA;0;ALAVA
16;1;1;1016;País Vasco;1017;BERNEDO;3;ALAVA
17;1;1;1018;País Vasco;1018;ZIGOITIA;0;ALAVA
18;1;1;0;País Vasco;1019;CORRES;0;ALAVA
19;1;1;1019;País Vasco;1020;CRIPAN;1;ALAVA
20;1;1;1020;País Vasco;1021;CUARTANGO;0;ALAVA
21;1;1;1021;País Vasco;1022;ELBURGO;0;ALAVA
22;1;1;1022;País Vasco;1023;ELCIEGO;8;ALAVA
23;1;1;1023;País Vasco;1024;ELVILLAR;0;ALAVA
24;1;1;0;País Vasco;1025;FORONDA;0;ALAVA
25;1;1;0;País Vasco;1026;GAUNA;0;ALAVA
26;1;1;0;País Vasco;1027;HUETOS;0;ALAVA
27;1;1;0;País Vasco;1028;IRUÑA;0;ALAVA
28;1;1;1027;País Vasco;1029;IRURAIZ-GAUNA;0;ALAVA
29;1;1;1028;País Vasco;1030;LABASTIDA;4;ALAVA
30;1;1;0;País Vasco;1031;LABRAZA;0;ALAVA
31;1;1;1030;País Vasco;1032;LAGRAN;1;ALAVA
32;1;1;1031;País Vasco;1033;LAGUARDIA;16;ALAVA
33;1;1;1032;País Vasco;1034;LANCIEGO;2;ALAVA
34;1;1;1033;País Vasco;1035;LAPUEBLA DE LABARCA;4;ALAVA
35;1;1;1034;País Vasco;1036;LEZA;1;ALAVA
36;1;1;0;País Vasco;1037;LEZAMA;0;ALAVA
37;1;1;1036;País Vasco;1038;LAUDIO-LLODIO;0;ALAVA
38;1;1;1037;País Vasco;1039;ARRAIA-MAESTU;0;ALAVA
39;1;1;0;País Vasco;1040;MARQUINEZ;0;ALAVA
40;1;1;0;País Vasco;1041;MENDOZA;0;ALAVA
41;1;1;1039;País Vasco;1042;MOREDA DE ALAVA;0;ALAVA
42;1;1;1901;País Vasco;1043;IRUÑA OKA;0;ALAVA
43;1;1;1041;País Vasco;1044;NAVARIDAS;1;ALAVA
44;1;1;1042;País Vasco;1045;OKONDO;0;ALAVA
45;1;1;0;País Vasco;1046;ORBISO;0;ALAVA
46;1;1;0;País Vasco;1047;OTEO;0;ALAVA
47;1;1;1043;País Vasco;1048;OYON;0;ALAVA
48;1;1;1044;País Vasco;1049;PEÑACERRADA-URIZAHARRA;0;ALAVA
49;1;1;0;País Vasco;1050;PIPAON;0;ALAVA
50;1;1;0;País Vasco;1051;QUINTANA;0;ALAVA
51;1;1;1046;País Vasco;1052;RIBERA ALTA;0;ALAVA
52;1;1;1047;País Vasco;1053;RIBERA BAJA;2;ALAVA
53;1;1;1902;País Vasco;1054;LANTARON;0;ALAVA
54;1;1;1049;País Vasco;1055;SALINAS DE AÑANA;1;ALAVA
55;1;1;0;País Vasco;1056;SALINILLAS B.;0;ALAVA
56;1;1;1051;País Vasco;1057;SALVATIERRA O AGURAIN;0;ALAVA
57;1;1;1052;País Vasco;1058;SAMANIEGO;3;ALAVA
58;1;1;1053;País Vasco;1059;SAN MILLAN;0;ALAVA
59;1;1;0;País Vasco;1060;SAN ROMAN DEL CAMPO;1;ALAVA
60;1;1;1017;País Vasco;1061;CAMPEZO;1;ALAVA
61;1;1;1054;País Vasco;1062;URCABUSTAIZ;0;ALAVA
62;1;1;1055;País Vasco;1063;VALDEGOVIA;0;ALAVA
63;1;1;0;País Vasco;1064;VALDEREJO;0;ALAVA
64;1;1;1056;País Vasco;1065;VALLE DE ARANA;0;ALAVA
65;1;1;1057;País Vasco;1066;VILLABUENA DE ALAVA;2;ALAVA
66;1;1;1058;País Vasco;1067;LEGUTIANO;0;ALAVA
67;1;1;1059;País Vasco;1068;VITORIA-GASTEIZ;65;ALAVA
68;1;1;1060;País Vasco;1069;YECORA;0;ALAVA
69;1;1;1061;País Vasco;1070;ZALDUONDO;0;ALAVA
70;1;1;1062;País Vasco;1071;ZAMBRANA;0;ALAVA
71;1;1;1063;País Vasco;1072;ZUIA;1;ALAVA
72;1;1;1059;País Vasco;1900;VITORIA-GASTEIZ;65;ALAVA
73;2;2;2001;Castilla-La Mancha;2001;ABENGIBRE;0;ALBACETE
74;2;2;2002;Castilla-La Mancha;2002;ALATOZ;0;ALBACETE
75;2;2;2004;Castilla-La Mancha;2004;ALBATANA;0;ALBACETE
76;2;2;2005;Castilla-La Mancha;2005;ALBOREA;3;ALBACETE
77;2;2;2006;Castilla-La Mancha;2006;ALCADOZO;0;ALBACETE
78;2;2;2007;Castilla-La Mancha;2007;ALCALA DEL JUCAR;38;ALBACETE
79;2;2;2008;Castilla-La Mancha;2008;ALCARAZ;11;ALBACETE
80;2;2;2009;Castilla-La Mancha;2009;ALMANSA;3;ALBACETE
81;2;2;2010;Castilla-La Mancha;2010;ALPERA;2;ALBACETE
82;2;2;2011;Castilla-La Mancha;2011;AYNA;3;ALBACETE
83;2;2;2012;Castilla-La Mancha;2012;BALAZOTE;0;ALBACETE
84;2;2;2013;Castilla-La Mancha;2013;BALSA DE VES;0;ALBACETE
85;2;2;2014;Castilla-La Mancha;2014;BALLESTERO (EL);0;ALBACETE
86;2;2;2015;Castilla-La Mancha;2015;BARRAX;0;ALBACETE
87;2;2;2016;Castilla-La Mancha;2016;BIENSERVIDA;0;ALBACETE
88;2;2;2017;Castilla-La Mancha;2017;BOGARRA;6;ALBACETE
89;2;2;2018;Castilla-La Mancha;2018;BONETE;0;ALBACETE
90;2;2;2019;Castilla-La Mancha;2019;BONILLO (EL);0;ALBACETE
91;2;2;2020;Castilla-La Mancha;2020;CARCELEN;2;ALBACETE
92;2;2;2021;Castilla-La Mancha;2021;CASAS DE JUAN NUÑEZ;0;ALBACETE
93;2;2;2022;Castilla-La Mancha;2022;CASAS DE LAZARO;1;ALBACETE
94;2;2;2023;Castilla-La Mancha;2023;CASAS DE VES;3;ALBACETE
95;2;2;2024;Castilla-La Mancha;2024;CASAS-IBAÑEZ;0;ALBACETE
96;2;2;2025;Castilla-La Mancha;2025;CAUDETE;1;ALBACETE
97;2;2;2026;Castilla-La Mancha;2026;CENIZATE;0;ALBACETE
98;2;2;2027;Castilla-La Mancha;2027;CORRAL-RUBIO;0;ALBACETE
99;2;2;2028;Castilla-La Mancha;2028;COTILLAS;2;ALBACETE
100;2;2;2029;Castilla-La Mancha;2029;CHINCHILLA DE MONTE-ARAGON;0;ALBACETE
101;2;2;2030;Castilla-La Mancha;2030;ELCHE DE LA SIERRA;11;ALBACETE
102;2;2;2031;Castilla-La Mancha;2031;FEREZ;2;ALBACETE
103;2;2;2032;Castilla-La Mancha;2032;FUENSANTA;0;ALBACETE
104;2;2;2033;Castilla-La Mancha;2033;FUENTE-ALAMO;0;ALBACETE
105;2;2;2034;Castilla-La Mancha;2034;FUENTEALBILLA;2;ALBACETE
106;2;2;2035;Castilla-La Mancha;2035;GINETA (LA);0;ALBACETE
107;2;2;2036;Castilla-La Mancha;2036;GOLOSALVO;0;ALBACETE
108;2;2;2037;Castilla-La Mancha;2037;HELLIN;6;ALBACETE
109;2;2;2038;Castilla-La Mancha;2038;HERRERA (LA);0;ALBACETE
110;2;2;2039;Castilla-La Mancha;2039;HIGUERUELA;1;ALBACETE
111;2;2;2040;Castilla-La Mancha;2040;HOYA-GONZALO;0;ALBACETE
112;2;2;2041;Castilla-La Mancha;2041;JORQUERA;4;ALBACETE
113;2;2;2042;Castilla-La Mancha;2042;LETUR;11;ALBACETE
114;2;2;2043;Castilla-La Mancha;2043;LEZUZA;0;ALBACETE
115;2;2;2044;Castilla-La Mancha;2044;LIETOR;2;ALBACETE
116;2;2;2045;Castilla-La Mancha;2045;MADRIGUERAS;0;ALBACETE
117;2;2;2046;Castilla-La Mancha;2046;MAHORA;2;ALBACETE
118;2;2;2047;Castilla-La Mancha;2047;MASEGOSO;1;ALBACETE
119;2;2;2048;Castilla-La Mancha;2048;MINAYA;0;ALBACETE
120;2;2;2049;Castilla-La Mancha;2049;MOLINICOS;3;ALBACETE
121;2;2;2050;Castilla-La Mancha;2050;MONTALVOS;0;ALBACETE
122;2;2;2051;Castilla-La Mancha;2051;MONTEALEGRE DEL CASTILLO;1;ALBACETE
123;2;2;2052;Castilla-La Mancha;2052;MOTILLEJA;3;ALBACETE
124;2;2;2053;Castilla-La Mancha;2053;MUNERA;3;ALBACETE
125;2;2;2054;Castilla-La Mancha;2054;NAVAS DE JORQUERA;0;ALBACETE
126;2;2;2055;Castilla-La Mancha;2055;NERPIO;6;ALBACETE
127;2;2;2056;Castilla-La Mancha;2056;ONTUR;0;ALBACETE
128;2;2;2057;Castilla-La Mancha;2057;OSSA DE MONTIEL;21;ALBACETE
129;2;2;2058;Castilla-La Mancha;2058;PATERNA DEL MADERA;4;ALBACETE
130;2;2;2059;Castilla-La Mancha;2059;PEÑASCOSA;1;ALBACETE
131;2;2;2060;Castilla-La Mancha;2060;PEÑAS DE SAN PEDRO;0;ALBACETE
132;2;2;2061;Castilla-La Mancha;2061;PETROLA;0;ALBACETE
133;2;2;2062;Castilla-La Mancha;2062;POVEDILLA;1;ALBACETE
134;2;2;2063;Castilla-La Mancha;2063;POZOHONDO;0;ALBACETE
135;2;2;2064;Castilla-La Mancha;2064;POZO-LORENTE;0;ALBACETE
136;2;2;2065;Castilla-La Mancha;2065;POZUELO;0;ALBACETE
137;2;2;2066;Castilla-La Mancha;2066;RECUEJA (LA);0;ALBACETE
138;2;2;2067;Castilla-La Mancha;2067;RIOPAR;32;ALBACETE
139;2;2;2068;Castilla-La Mancha;2068;ROBLEDO;0;ALBACETE
140;2;2;2069;Castilla-La Mancha;2069;RODA (LA);0;ALBACETE
141;2;2;2070;Castilla-La Mancha;2070;SALOBRE;4;ALBACETE
142;2;2;2071;Castilla-La Mancha;2071;SAN PEDRO;0;ALBACETE
143;2;2;2072;Castilla-La Mancha;2072;SOCOVOS;0;ALBACETE
144;2;2;2073;Castilla-La Mancha;2073;TARAZONA DE LA MANCHA;0;ALBACETE
145;2;2;2074;Castilla-La Mancha;2074;TOBARRA;0;ALBACETE
146;2;2;2075;Castilla-La Mancha;2075;VALDEGANGA;3;ALBACETE
147;2;2;2076;Castilla-La Mancha;2076;VIANOS;2;ALBACETE
148;2;2;2077;Castilla-La Mancha;2077;VILLA DE VES;0;ALBACETE
149;2;2;2078;Castilla-La Mancha;2078;VILLALGORDO DEL JUCAR;0;ALBACETE
150;2;2;2079;Castilla-La Mancha;2079;VILLAMALEA;3;ALBACETE
151;2;2;2080;Castilla-La Mancha;2080;VILLAPALACIOS;0;ALBACETE
152;2;2;2081;Castilla-La Mancha;2081;VILLARROBLEDO;9;ALBACETE
153;2;2;2082;Castilla-La Mancha;2082;VILLATOYA;2;ALBACETE
154;2;2;2083;Castilla-La Mancha;2083;VILLAVALIENTE;0;ALBACETE
155;2;2;2084;Castilla-La Mancha;2084;VILLAVERDE DE GUADALIMAR;0;ALBACETE
156;2;2;2085;Castilla-La Mancha;2085;VIVEROS;0;ALBACETE
157;2;2;2086;Castilla-La Mancha;2086;YESTE;14;ALBACETE
158;2;2;2901;Castilla-La Mancha;2087;POZO CAÑADA;0;ALBACETE
159;2;2;2003;Castilla-La Mancha;2900;ALBACETE;33;ALBACETE
160;3;3;3001;Comunidad Valenciana;3001;ADSUBIA;5;ALICANTE
161;3;3;3002;Comunidad Valenciana;3002;AGOST;2;ALICANTE
162;3;3;3003;Comunidad Valenciana;3003;AGRES;3;ALICANTE
163;3;3;3004;Comunidad Valenciana;3004;AIGUES;6;ALICANTE
164;3;3;3005;Comunidad Valenciana;3005;ALBATERA;2;ALICANTE
165;3;3;3006;Comunidad Valenciana;3006;ALCALALI;6;ALICANTE
166;3;3;3007;Comunidad Valenciana;3007;ALCOCER DE PLANES;0;ALICANTE
167;3;3;3008;Comunidad Valenciana;3008;ALCOLEJA;3;ALICANTE
168;3;3;3009;Comunidad Valenciana;3009;ALCOY;10;ALICANTE
169;3;3;3010;Comunidad Valenciana;3010;ALFAFARA;0;ALICANTE
170;3;3;3011;Comunidad Valenciana;3011;ALFAS DEL PI (L');0;ALICANTE
171;3;3;3012;Comunidad Valenciana;3012;ALGORFA;21;ALICANTE
172;3;3;3013;Comunidad Valenciana;3013;ALGUEÑA;1;ALICANTE
173;3;3;3015;Comunidad Valenciana;3015;ALMORADI;6;ALICANTE
174;3;3;3016;Comunidad Valenciana;3016;ALMUDAINA;0;ALICANTE
175;3;3;3017;Comunidad Valenciana;3017;ALQUERIA D'ASNAR (L');0;ALICANTE
176;3;3;3018;Comunidad Valenciana;3018;ALTEA;352;ALICANTE
